t,v,h,a
381.0,15966.0,278.1,1.397
381.5,15991.0,278.4,1.37
382.0,16016.0,278.7,1.408
382.5,16038.0,278.9,1.393
383.0,16066.0,279.2,1.389
383.5,16093.0,279.5,1.427
384.0,16115.0,279.7,1.412
,,,
385.0,16169.0,288.3,1.416
385.5,16195.0,288.5,1.397
386.0,16221.0,288.8,1.416
,,,
387.0,16271.0,281.3,1.42
387.5,16295.0,281.5,1.42
388.0,16324.0,281.8,1.412
388.5,16346.0,282.1,1.427
389.0,16376.0,282.3,1.457
389.5,16398.0,282.6,1.435
390.0,16427.0,282.8,1.45
390.5,16452.0,283.1,1.45
391.0,16479.0,283.4,1.469
391.5,16582.0,283.6,1.752
392.0,16529.0,283.8,1.45
392.5,16555.0,284.1,1.465
393.0,16583.0,284.3,1.469
393.5,16687.0,284.6,1.763
394.0,16636.0,284.8,1.472
394.5,16662.0,285.1,1.476
395.0,16688.0,285.3,1.484
395.5,16713.0,285.6,1.469
396.0,16743.0,285.8,1.499
396.5,16766.0,286.8,1.472
397.0,16794.0,286.3,1.495
397.5,16828.0,286.5,1.514
398.0,16848.0,286.8,1.495
398.5,16874.0,287.8,1.491
399.0,16984.0,287.3,1.518
399.5,16938.0,287.5,1.544
400.0,16957.0,287.7,1.518
400.5,16986.0,288.8,1.522
401.0,17012.0,288.2,1.227
401.5,17037.0,288.4,1.514
402.0,17066.0,288.6,1.525
402.5,17093.0,288.9,1.529
403.0,17122.0,289.1,1.544
403.5,17148.0,289.3,1.529
404.0,17178.0,289.6,1.555
404.5,17285.0,289.8,1.854
,,,
405.5,17261.0,298.2,1.68
406.0,17291.0,298.5,1.718
406.5,17316.0,298.7,1.714
407.0,17348.0,298.9,1.42
,,,
408.0,17488.0,291.4,1.858
408.5,17435.0,291.6,1.586
409.0,17461.0,291.8,1.574
409.5,17491.0,292.8,1.589
410.0,17528.0,292.2,1.635
410.5,17546.0,292.4,1.593
411.0,17577.0,292.7,1.608
411.5,17686.0,292.9,1.91
412.0,17638.0,293.1,1.631
412.5,17664.0,293.3,1.616
413.0,17695.0,293.5,1.329
413.5,17723.0,293.7,1.48
414.0,17754.0,294.8,1.484
414.5,17785.0,294.2,1.506
415.0,17813.0,294.4,1.491
415.5,17841.0,294.6,1.333
416.0,17876.0,294.8,1.665
416.5,17988.0,295.8,1.99
417.0,17935.0,295.2,1.676
417.5,17961.0,295.4,1.635
418.0,17994.0,295.6,1.691
418.5,18024.0,295.8,1.688
419.0,18058.0,296.8,1.404
419.5,18085.0,296.2,1.688
420.0,18119.0,296.4,1.718
420.5,18148.0,296.6,1.71
421.0,18181.0,296.8,1.729
421.5,18288.0,297.8,2.016
422.0,18248.0,297.2,1.748
422.5,18271.0,297.4,1.729
423.0,18385.0,297.6,2.054
423.5,18333.0,297.8,1.725
424.0,18365.0,298.8,1.423
424.5,18398.0,298.2,1.748
425.0,18426.0,298.3,1.756
425.5,18461.0,298.5,1.763
426.0,18495.0,298.7,1.778
426.5,18524.0,298.9,1.759
427.0,18568.0,299.1,1.824
427.5,18598.0,299.3,1.808
428.0,18622.0,299.5,1.79
428.5,18654.0,299.7,1.786
429.0,18685.0,299.8,1.499
429.5,18715.0,300.8,1.763
430.0,18754.0,300.2,1.824
430.5,18785.0,300.4,1.51
431.0,18819.0,300.6,1.835
431.5,18858.0,300.7,1.861
,,,
432.5,18916.0,301.1,1.846
433.0,18954.0,301.3,1.884
433.5,18984.0,301.4,1.865
434.0,19017.0,301.6,1.861
434.5,19058.0,301.8,1.907
435.0,19085.0,302.8,1.842
435.5,19118.0,302.1,1.854
436.0,19153.0,302.3,1.895
436.5,19186.0,302.5,1.899
437.0,19221.0,302.6,1.914
437.5,19255.0,302.8,1.929
438.0,19292.0,303.8,1.922
438.5,19325.0,303.1,1.929
439.0,19364.0,303.3,1.948
439.5,19392.0,303.5,1.907
440.0,19429.0,303.6,1.937
440.5,19462.0,303.8,1.918
,,,
441.5,19529.0,304.1,1.931
442.0,19569.0,304.3,1.958
442.5,19681.0,304.4,2.226
443.0,19648.0,304.6,1.999
443.5,19674.0,304.7,1.973
444.0,19718.0,304.9,2.007
